,temp,salt,p
0,-1.663,30.589,5.29
1,-1.661,30.587,6.374
2,-1.662,30.587,7.459
3,-1.662,30.586,8.586
4,-1.663,30.586,9.629
5,-1.662,30.586,10.63
6,-1.661,30.587,11.673
7,-1.664,30.586,12.716
8,-1.664,30.586,13.885
9,-1.665,30.585,14.969
10,-1.664,30.586,16.012
11,-1.665,30.586,17.223
12,-1.663,30.585,18.224
13,-1.665,30.585,19.225
14,-1.665,30.585,20.268
15,-1.663,30.584,21.395
16,-1.665,30.583,22.522
17,-1.664,30.584,23.565
18,-1.664,30.585,24.608
19,-1.665,30.584,25.735
20,-1.664,30.583,26.82
21,-1.665,30.582,27.821
22,-1.663,30.583,28.948
23,-1.664,30.583,29.949
24,-1.663,30.582,30.951
25,-1.663,30.583,31.994
26,-1.665,30.582,33.204
27,-1.664,30.583,34.331
28,-1.664,30.583,35.499
29,-1.663,30.582,36.501
30,-1.663,30.581,37.586
31,-1.663,30.581,38.754
32,-1.663,30.581,39.756
33,-1.663,30.581,40.841
34,-1.664,30.581,41.967
35,-1.665,30.581,42.969
36,-1.665,30.581,43.97
37,-1.663,30.581,45.055
38,-1.662,30.582,46.141
39,-1.664,30.581,47.226
40,-1.663,30.581,48.227
41,-1.663,30.581,49.229
42,-1.663,30.579,50.23
43,-1.664,30.582,51.232
44,-1.663,30.581,52.234
45,-1.663,30.58,53.319
46,-1.661,30.582,54.404
47,-1.661,30.579,55.447
48,-1.564,30.765,56.449
49,-1.421,30.997,57.534
50,-1.358,31.11,58.619
51,-1.33,31.204,59.662
52,-1.311,31.196,60.706
53,-1.312,32.256,91.426
54,-1.319,32.271,92.512
55,-1.326,32.289,93.597
56,-1.332,32.3,94.641
57,-1.338,32.315,95.768
58,-1.344,32.333,96.77
59,-1.349,32.347,97.813
60,-1.354,32.364,98.94
61,-1.359,32.375,100.067
62,-1.366,32.387,101.153
63,-1.37,32.405,102.196
64,-1.375,32.422,103.324
65,-1.377,32.436,104.367
66,-1.384,32.449,105.453
67,-1.389,32.46,106.622
68,-1.393,32.474,107.665
69,-1.398,32.488,108.751
70,-1.401,32.502,109.794
71,-1.403,32.514,110.796
72,-1.41,32.528,111.84
73,-1.417,32.542,112.842
74,-1.42,32.553,113.886
75,-1.424,32.563,114.971
76,-1.428,32.577,116.015
77,-1.432,32.587,117.101
78,-1.436,32.591,118.103
79,-1.441,32.613,119.105
80,-1.444,32.626,120.148
81,-1.447,32.635,121.15
82,-1.45,32.645,122.319
83,-1.452,32.65,123.363
84,-1.455,32.664,124.365
85,-1.458,32.673,125.451
86,-1.458,32.686,126.536
87,-1.462,32.691,127.538
88,-1.465,32.703,128.582
89,-1.468,32.717,129.793
90,-1.473,32.724,130.837
