,SOURCE,INSTRMT,PROF_NO,i_offset,temp,salt,p
0,ITP,1,1259,0,-0.488334627328703,34.35840301269538,220.15775850251484
1,ITP,1,1259,0,-0.46944372669101664,34.36967701628367,221.6577585025146
2,ITP,1,1259,0,-0.42934488841155716,34.383471414272364,223.15775850251438
3,ITP,1,1259,0,-0.4250931637934738,34.3830210981968,224.65775850251416
4,ITP,1,1259,0,-0.39023446494634456,34.39736016998518,226.15775850251393
5,ITP,1,1259,0,-0.3870686338233236,34.39746691845009,227.6577585025137
6,ITP,1,1259,0,-0.3536279793294409,34.41194715814961,229.15775850251347
0,ITP,8,1301,0,-1.1152156345306905,33.96846892690806,220.0073061599599
1,ITP,8,1301,0,-1.0842188199030491,33.99753476026097,221.50730615995968
2,ITP,8,1301,0,-1.0583523195884879,34.018717921843056,223.00730615995946
3,ITP,8,1301,0,-1.0362127043173595,34.036305689020246,224.50730615995923
4,ITP,8,1301,0,-1.017415548346713,34.05184732746112,226.007306159959
5,ITP,8,1301,0,-0.9889380564999749,34.078855990939594,227.50730615995877
6,ITP,8,1301,0,-0.9400884165597982,34.11218462351775,229.00730615995855
0,ITP,1,1259,1,-0.48602360863567795,34.360189732129655,220.19525850251483
1,ITP,1,1259,1,-0.46930753658045987,34.36966138297077,221.6952585025146
2,ITP,1,1259,1,-0.429288049193316,34.3834795071927,223.19525850251438
3,ITP,1,1259,1,-0.4248922968064925,34.38297619445045,224.69525850251415
4,ITP,1,1259,1,-0.39021574044902285,34.39735925594557,226.19525850251392
5,ITP,1,1259,1,-0.38696367671493237,34.39742578210239,227.6952585025137
6,ITP,1,1259,1,-0.35364454431665676,34.41198341760013,229.19525850251347
0,ITP,8,1301,1,-1.114219062325265,33.96933140869537,220.0448061599599
1,ITP,8,1301,1,-1.0819050314930256,33.99907825298699,221.54480615995968
2,ITP,8,1301,1,-1.0575943471307452,34.018930693507286,223.04480615995945
3,ITP,8,1301,1,-1.0357764775690494,34.03742808468345,224.54480615995922
4,ITP,8,1301,1,-1.0168632003267215,34.052163179293004,226.044806159959
5,ITP,8,1301,1,-0.9878631877871535,34.080379732597116,227.54480615995877
6,ITP,8,1301,1,-0.9378160515091664,34.11411533590864,229.04480615995854
0,ITP,1,1259,2,-0.483712589942653,34.361976451563926,220.23275850251483
1,ITP,1,1259,2,-0.4691851255844091,34.369662381741236,221.7327585025146
2,ITP,1,1259,2,-0.42918076840029984,34.3834161165836,223.23275850251437
3,ITP,1,1259,2,-0.42467792915652497,34.38313851602795,224.73275850251414
4,ITP,1,1259,2,-0.3901921376257026,34.39742966640748,226.23275850251392
5,ITP,1,1259,2,-0.3868508327866634,34.397390519000425,227.7327585025137
6,ITP,1,1259,2,-0.353652891684981,34.41201523371497,229.23275850251346
0,ITP,8,1301,2,-1.1132224901198393,33.97019389048267,220.0823061599599
1,ITP,8,1301,2,-1.0797979490191372,34.00000407565091,221.58230615995967
2,ITP,8,1301,2,-1.056852988714569,34.01914977015123,223.08230615995944
3,ITP,8,1301,2,-1.0353402508207394,34.03855048034665,224.58230615995922
4,ITP,8,1301,2,-1.0163720465931232,34.05244037528958,226.082306159959
5,ITP,8,1301,2,-0.9867827544683427,34.08190157770954,227.58230615995876
6,ITP,8,1301,2,-0.9356754641190156,34.11532353552449,229.08230615995853
0,ITP,1,1259,3,-0.48140157124962796,34.363763170998205,220.27025850251482
1,ITP,1,1259,3,-0.4690627145883584,34.3696633805117,221.7702585025146
2,ITP,1,1259,3,-0.4290734876072837,34.38335272597449,223.27025850251437
3,ITP,1,1259,3,-0.4244620329514998,34.38332429981002,224.77025850251414
4,ITP,1,1259,3,-0.3901673168795965,34.397517883743234,226.2702585025139
5,ITP,1,1259,3,-0.3867337559662045,34.39735840809623,227.77025850251368
6,ITP,1,1259,3,-0.35363645533717825,34.41203364906593,229.27025850251346
0,ITP,8,1301,3,-1.1125656083240498,33.97067801426862,220.1198061599599
1,ITP,8,1301,3,-1.0781039017071652,34.00033691741019,221.61980615995967
